team,qb_name,qb_gsis_id,raw__offseason_unchanged_rank,raw__offseason_unchanged_rating,raw__offseason_0.5_rank,raw__offseason_0.5_rating,team_epa__offseason_unchanged_rank,team_epa__offseason_unchanged_rating,team_epa__offseason_0.5_rank,team_epa__offseason_0.5_rating,team_qb_epa__offseason_unchanged_rank,team_qb_epa__offseason_unchanged_rating,team_qb_epa__offseason_0.5_rank,team_qb_epa__offseason_0.5_rating
ARI,Jacoby Brissett,00-0033119,29,-6.546145227936741,30,-4.444906268967557,29,-6.601195858610886,30,-4.301175480822494,29,-6.523273140298123,29,-4.208362625318678
ATL,Tua Tagovailoa,00-0036212,18,-0.5653392688184979,19,-0.0826665646524063,19,-0.4795934716361785,19,0.048741038175514007,19,-0.41727687816739234,19,0.11447802452858724
BAL,Lamar Jackson,00-0034796,4,5.45335775518663,3,4.23918474515304,6,4.89513973164722,4,3.566103520264612,5,4.914037787312218,5,3.576397508022005
BUF,Josh Allen,00-0034857,6,4.708008698998462,7,3.10774375863749,7,4.71070782136384,7,2.9590546088723855,7,4.695714195334681,7,2.9327209282519604
CAR,Bryce Young,00-0039150,27,-4.469260156396345,26,-3.231631274103421,27,-4.219442059784761,26,-2.864731003594528,27,-4.281832600498319,27,-2.9183512596289916
CHI,Caleb Williams,00-0039918,14,1.4134941949183712,14,0.7128442396824397,15,1.391248941103818,15,0.6243160951938336,15,1.2464018028484531,15,0.4745038986276029
CIN,Joe Burrow,00-0036442,19,-0.7029632339205776,20,-0.095628137308573,17,-0.19367931994927545,16,0.4711108946005851,18,-0.20483686358517872,16,0.4642571465282046
CLE,Deshaun Watson,00-0033537,28,-5.047838941233856,28,-3.5070484410679157,28,-5.980444302056775,29,-4.293891931058013,28,-6.01888317561324,30,-4.32141220735916
DAL,Dak Prescott,00-0033077,25,-3.674124630674683,25,-2.7804824074640777,25,-3.3697716260557016,25,-2.3915890566420472,25,-3.4518290158730736,25,-2.467313775324371
DEN,Bo Nix,00-0039732,8,3.738019299644442,10,2.3816239959151133,8,3.8530878557607906,9,2.3683748365217028,8,3.833426096949239,9,2.339101171329091
DET,Jared Goff,00-0033106,13,1.6568940022498353,15,0.4541065677506637,13,2.001930504294215,14,0.6853569667213719,13,2.0862527290714823,14,0.7611558058861121
GB,Jordan Love,00-0036264,15,1.3865880567683604,13,0.9473296162269236,12,2.2061060640656223,11,1.725292894269593,12,2.1277681053740807,12,1.6438421918255912
HOU,C.J. Stroud,00-0039163,9,3.4499743822686284,11,2.192669406508166,9,3.500550397292095,10,2.1243018497387567,10,3.428442469864329,10,2.0432842057363203
IND,Daniel Jones,00-0035710,22,-1.74099873744089,24,-1.8287225800948477,21,-1.2636711269516212,23,-1.3596938210201799,20,-1.0810387932311727,23,-1.177683130091225
JAX,Trevor Lawrence,00-0036971,5,5.391619352756223,6,3.324518120586788,4,5.1766844507805345,8,2.91403129719842,4,5.1606845940603066,8,2.883383215532909
KC,Patrick Mahomes,00-0033873,17,0.2804265663530501,17,0.11444335200740596,16,0.374827175321343,18,0.19314161607723435,16,0.400036867040626,17,0.2171750908686647
LAC,Justin Herbert,00-0036355,12,1.7572063031797,12,1.1998059318165417,14,1.6927994041987517,13,1.0826678400329044,14,1.6281023418873488,13,1.0140208376328061
LAR,Matthew Stafford,00-0026498,2,6.931807199946519,2,4.6266656534171915,1,7.211549018249151,2,4.688336459262004,1,7.249045942484152,1,4.709498319021797
LV,Kirk Cousins,00-0029604,30,-7.197959103806227,29,-4.413698296838298,30,-6.984230008476153,28,-3.936572546306607,30,-7.000671825347453,28,-3.9332840868024164
MIA,Malik Willis,00-0038128,21,-1.0534889498282212,16,0.2932135999674017,20,-1.1806153936830555,17,0.2934879176647698,21,-1.2878848938495437,18,0.1957616375287401
MIN,Kyler Murray,00-0035228,16,0.5956684136491717,18,0.04899661293659818,18,-0.21524866184733327,20,-0.813636711066664,17,-0.12982287945897752,20,-0.7320848422454915
NE,Drake Maye,00-0039851,1,7.2191272552888535,1,5.287346275172155,2,6.898929736038305,1,4.784398401690595,3,6.710559305378965,2,4.582338674202759
NO,Tyler Shough,00-0040743,24,-2.4291544920746446,23,-1.4556770333413738,24,-3.1910861628826694,24,-2.1255157845842447,24,-3.4477364960911174,24,-2.3752677053817237
